Postanski_ured;Mjesto;Zupanija
10380 Sveti Ivan Zelina;Hrastje;Zagrebačka županija
10380 Sveti Ivan Zelina;Kalinje;Zagrebačka županija
10380 Sveti Ivan Zelina;Kladešćica;Zagrebačka županija
10380 Sveti Ivan Zelina;Krečaves;Zagrebačka županija
10380 Sveti Ivan Zelina;Marinovec Zelinski;Zagrebačka županija
10380 Sveti Ivan Zelina;Novo Mjesto;Zagrebačka županija
10380 Sveti Ivan Zelina;Obrež Zelinski;Zagrebačka županija
10380 Sveti Ivan Zelina;Polonje;Zagrebačka županija
10380 Sveti Ivan Zelina;Prepolno;Zagrebačka županija
10380 Sveti Ivan Zelina;Pretoki;Zagrebačka županija
10380 Sveti Ivan Zelina;Selnica Psarjevačka;Zagrebačka županija
10380 Sveti Ivan Zelina;Sveti Ivan Zelina;Zagrebačka županija
10380 Sveti Ivan Zelina;Šalovec;Zagrebačka županija
10380 Sveti Ivan Zelina;Šulinec;Zagrebačka županija
10380 Sveti Ivan Zelina;Velika Gora;Zagrebačka županija
10380 Sveti Ivan Zelina;Žitomir;Zagrebačka županija
10381 Bedenica;Bedenica;Zagrebačka županija
10381 Bedenica;Beloslavec;Zagrebačka županija
10381 Bedenica;Bosna;Zagrebačka županija
10381 Bedenica;Novakovec Bisaški;Zagrebačka županija
10381 Bedenica;Omamno;Zagrebačka županija
10381 Bedenica;Otrčkovec;Zagrebačka županija
10381 Bedenica;Turkovčina;Zagrebačka županija
10382 Donja Zelina;Banje Selo;Zagrebačka županija
10382 Donja Zelina;Blaškovec;Zagrebačka županija
10382 Donja Zelina;Brezovec Zelinski;Zagrebačka županija
10382 Donja Zelina;Bukevje;Zagrebačka županija
10382 Donja Zelina;Bukovec Zelinski;Zagrebačka županija
10382 Donja Zelina;Bunjak;Zagrebačka županija
10382 Donja Zelina;Curkovec;Zagrebačka županija
10382 Donja Zelina;Donja Drenova;Zagrebačka županija
10382 Donja Zelina;Donja Zelina;Zagrebačka županija
10382 Donja Zelina;Goričanec;Zagrebačka županija
10382 Donja Zelina;Goričica;Zagrebačka županija
10382 Donja Zelina;Gornja Drenova;Zagrebačka županija
10382 Donja Zelina;Hrnjanec;Zagrebačka županija
10382 Donja Zelina;Križevčec;Zagrebačka županija
10382 Donja Zelina;Laktec;Zagrebačka županija
10382 Donja Zelina;Majkovec;Zagrebačka županija
10382 Donja Zelina;Nespeš;Zagrebačka županija
10382 Donja Zelina;Paukovec;Zagrebačka županija
10382 Donja Zelina;Suhodol Zelinski;Zagrebačka županija
10382 Donja Zelina;Sveta Helena;Zagrebačka županija
10382 Donja Zelina;Vukovje Zelinsko;Zagrebačka županija
10383 Komin;Dubovec Bisaški;Zagrebačka županija
10383 Komin;Filipovići;Zagrebačka županija
10383 Komin;Gornji Vinkovec;Zagrebačka županija
10383 Komin;Keleminovec;Zagrebačka županija
10383 Komin;Komin;Zagrebačka županija
10383 Komin;Mokrica Tomaševečka;Zagrebačka županija
10383 Komin;Polonje Tomaševečko;Zagrebačka županija
10383 Komin;Radoišće;Zagrebačka županija
10383 Komin;Salnik;Zagrebačka županija
10383 Komin;Šurdovec;Zagrebačka županija
10383 Komin;Tomaševec;Zagrebačka županija
10383 Komin;Zadrkovec;Zagrebačka županija
10383 Komin;Zrinšćina;Zagrebačka županija
10408 Velika Mlaka;Velika Mlaka;Zagrebačka županija
10410 Velika Gorica;Bapča;Zagrebačka županija
10410 Velika Gorica;Črnkovec;Zagrebačka županija
10410 Velika Gorica;Drenje Šćitarjevsko;Zagrebačka županija
10410 Velika Gorica;Gradići;Zagrebačka županija
10410 Velika Gorica;Kobilić;Zagrebačka županija
10410 Velika Gorica;Lazi Turopoljski;Zagrebačka županija
10410 Velika Gorica;Lekneno;Zagrebačka županija
10410 Velika Gorica;Mala Kosnica;Zagrebačka županija
10410 Velika Gorica;Mičevec;Zagrebačka županija
10410 Velika Gorica;Mraclin;Zagrebačka županija
10410 Velika Gorica;Novaki Šćitarjevski;Zagrebačka županija
10410 Velika Gorica;Obrezina;Zagrebačka županija
10410 Velika Gorica;Okuje;Zagrebačka županija
10410 Velika Gorica;Petina;Zagrebačka županija
10410 Velika Gorica;Petrovina Turopoljska;Zagrebačka županija
10410 Velika Gorica;Sasi;Zagrebačka županija
10410 Velika Gorica;Selnica Šćitarjevska;Zagrebačka županija
10410 Velika Gorica;Strmec Bukevski;Zagrebačka županija
10410 Velika Gorica;Šćitarjevo;Zagrebačka županija
10410 Velika Gorica;Trnje;Zagrebačka županija
10410 Velika Gorica;Velika Gorica;Zagrebačka županija
10410 Velika Gorica;Velika Kosnica;Zagrebačka županija
10410 Velika Gorica;Zablatje Posavsko;Zagrebačka županija
10411 Orle;Bukevje;Zagrebačka županija
10411 Orle;Čret Posavski;Zagrebačka županija
10411 Orle;Drnek;Zagrebačka županija
10411 Orle;Obed;Zagrebačka županija
10411 Orle;Orle;Zagrebačka županija
10411 Orle;Ruča;Zagrebačka županija
10411 Orle;Sop Bukevski;Zagrebačka županija
10411 Orle;Stružec Posavski;Zagrebačka županija
10411 Orle;Suša;Zagrebačka županija
10411 Orle;Veleševec;Zagrebačka županija
10411 Orle;Vrbovo Posavsko;Zagrebačka županija
10412 Donja Lomnica;Donja Lomnica;Zagrebačka županija
10412 Donja Lomnica;Gornja Lomnica;Zagrebačka županija
10412 Donja Lomnica;Gudci;Zagrebačka županija
10412 Donja Lomnica;Lukavec;Zagrebačka županija
10412 Donja Lomnica;Markuševec Turopoljski;Zagrebačka županija
10413 Kravarsko;Barbarići Kravarski;Zagrebačka županija
10413 Kravarsko;Čakanec;Zagrebačka županija
10413 Kravarsko;Donji Hruševec;Zagrebačka županija
10413 Kravarsko;Gladovec Kravarski;Zagrebačka županija
10413 Kravarsko;Gornji Hruševec;Zagrebačka županija
